Name,Rating,Location
Oggi,4.9,"Carrer Comtal, 15"
Buenas Migas,4.3,"Plaça del Bonsuccés, 6"
La luna,4.3,"Carrer Abaixadors, 10"
Ramblero,3.5,Mercat de La Boqueria
Dulcinea,4.0,"Carrer de Petritxol, 2"
The Pan's Club,4.9,"Plaça de la Llana, 16"
Bar Boqueria,4.0,"La Rambla, 91"
Sagardi Argenteria,4.0,"Carrer de l'Argenteria, 62"
Tosca,4.3,"Carrer de Sant Pere Més Alt, 8"
Ohla Terraza Chill-Out,4.4,Hotel Ohla
Melic del Gòtic,3.9,"Carrer de Montsió, 7"
Chilli,4.5,Carrer Pau claris 77
Bar Central,4.0,"La Rambla, 91"
Tapas 24,3.8,"Carrer de la Diputació, 269"
9 Reinas,4.4,"Carrer de València, 267"
Veggie Garden,4.3,"Carrer del's Angels, 3"
Informal,4.7,"Carrer de la Plata, 4"
Moka,3.1,"Las Rambla, 126"
My Way Lounge Restaurante,4.5,"Carrer de les Heures, 4-10"
Conesa Entrepans,4.4,"Carrer de la Llibreteria,1"
Čaj Chai,4.6,"Carrer de Salomó Ben Adret, 12"
Enkel,4.7,"Baixada de Sant Miquel, 6"
Tantarantana,4.2,"Carrer Tantarantana, 24"
Moritz,3.9,"Ronda de Sant Antoni, 39"
Satan's Coffee Corner,4.1,"Carrer de l'Arc de Sant Ramon del Call, 11"
Boadas,4.3,"Carrer dels Tallers, 1"
La Pallaresa,4.1,"Carrer de Petritxol, 11"
Los Pergaminos,4.5,"Carrer Ample, 19"
Tokyo,3.9,"Carrer Comtal, 20"
Ziryab Shisha Hookah Lounge,4.9,"Carrer de Grunyí, 4"
Gelaaati Di Marco,4.5,"Carrer de la Llibreteria, 7"
Stoke Bar,4.1,"Carrer dels Banys Nous, 8"
Black Lab,4.0,"Plaça Pau Vila, 1"
Petra,4.3,"Carrer dels Sombrerers, 13"
Can Culleretes,3.9,"Carrer d'en Quintana, 5"
Mannà Gelats,4.8,"Carrer dels Banys Nous, 22"
Nømad Cøffee,4.5,"Passatge de Sert, 12"
Petritxol Xocoa,4.0,"Carrer de Petritxol, 11"
Amorino Barcelona Les Rambles,4.3,"Les Rambles, 125"
L'Antic Bocoi Del Gòtic,4.6,"Baixada de Viladecols, 3"
Maoz Falafel,4.7,"Calle de Ferran, 13"
A Tu Bola,4.5,Carrer Hospital 78
Sensi Mezzanine,4.4,"Carrer Ample, 24"
Pla,4.3,"Carrer de Bellafila, 5"
La Dolça Hermínia,3.6,"Carrer Magdalenes, 27"
El Bar de l'Antic Teatre,4.2,"Carrer de Verdaguer i Callís, 12"
Bar Lobo,3.8,"Carrer de Pintor Fortuny, 3"
Cèntric,4.1,"Carrer de les Ramelleres, 27"
Marmalade,4.1,"Carrer de la Riera Alta, 4-6"
Bosco,3.8,"Carrer dels Capellans, 9"
Agust,4.6,"Carrer del Parlament, 54"
Gats,3.8,"Carrer d'en Xuclà, 7"
Ménage à Trois,3.6,"Carrer d'en Bot, 4"
Gilda By Belgious,4.5,"Carrer Ample, 34-38"
La Alcoba Azul,4.6,"Carrer de Sant Domenec del Call, 14"
La Fabrica,4.4,"Plaza de la Llana, 15"
Passadís del Pep,4.5,"Pla de Palau, 2"
Bar Brutal,4.1,"Carrer Barra de Ferro, 1"
Pura Vida Cocktails,4.5,"Carrer dels Mercaders, 20"
Caelum,3.9,"Carrer de la Palla, 8"
Pasta Madre,3.8,"Carrer dels Tallers, 3"
Bar del Pi,3.9,"Plaça de Sant Josep Oriol, 1"
Mosquito,3.9,"Carrer dels Carders, 46"
Estimar,4.8,"Carrer de Sant Antoni dels Sombrerers, 3"
Lonja de Tapas,4.0,"Pla de Palau, 7"
Living Barcelona 1925,3.6,"Ramblas, 122"
Barri Gòtic,4.5,
Picnic,4.2,"Carrer del Comerç, 1"
Barcelona,4.6,
Miño,4.2,"Calle del Carme, 19"
Rasoterra,4.4,"Carrer del Palau, 5"
Bastaix,4.6,"Plaça del Fossar de les Moreres, 5"
Flaherty's,4.2,"Plaça de Joaquim Xirau, s/n"
Bembi,4.4,"Carrer del Consell de Cent, 377"
Bernie's,3.9,"Via Laietana, 20"
Planelles Donat,4.4,"Avinguda del Portal de l'Àngel, 27"
La Paradeta,4.4,"Carrer del Consell de Cent, 318"
En Ville,4.3,"Carrer del Doctor Dou, 14"
Las Fernández,4.8,"Carrer de les Carretes, 11"
Salterio,4.7,"Carrer de Sant Domènec del Call, 4"
The Benedict,4.1,"Carrer d'en Gignàs, 23"
VeganCatBar,4.3,Carrer de la merce 29
Vinitus,4.6,"Carrer Del Consell de Cent, 333"
Pans & Company,4.6,"Rambla de Canaletes, 123"
Prado de Flores,4.2,"Carrer de Santa Anna, 11"
Bodega Cala del Vermut,3.7,"Carrer de les Magdalenes, 6"
Gelataria Giovanni,4.3,"Carrer de la Cucurulla, 2"
Palau Dalmases,4.5,"Calle Montcada, 20"
Espai Quera Llibres i platillos,5.0,"Carrer de Petritxol, 2"
Bacoa,4.1,"Ronda de la Universitat, 31"
Trópico,4.4,"Carrer del Marquès de Barberà, 24"
Creps al Born,4.6,"Passeig del Born, 12"
Morelia,4.4,"Plaça Comercial, 7"
Cachitos,3.9,"Rambla Catalunya, 33"
Surya Pau Claris,3.9,"Carrer de Pau Claris, 92"
Nuria,3.1,"La Rambla, 133"
Mont Bar,4.2,"Carrer Diputació, 220"
Farggi,3.9,"Passeig de Grácia,  2"
L'Ovella Negra,4.0,"Carrer de les Sitges, 5"
Black Remedy,4.4,"Carrer de la Ciutat, 5"
Meneghina,4.6,"Carrer dels Tiradors, 2"
Nineteen,4.0,"Plaça de Catalunya, 19"
Quiosc Modern,4.5,"Mercado de la Boqueria, 364"
Casa Batlló,4.4,"Passeig de Gràcia, 43"
Rosa del Raval,4.0,"Carrer dels Àngels, 6"
Can Sola,5.0,Calle de Sepúlveda
Dalston Coffee,5.0,"Carrer de les Ramelleres, 16"
Golfo de Bizkaia Pi,4.9,"Carrer del Pi, 5"
Cometa,4.6,"Carrer Parlament, 20"
El Casal,4.5,"Plaça Victor Balaguer, 5"
Restaurante Italiano Rossini,3.9,"Pl. Reial, 13"
Two Schmucks,4.8,"Carrer de Joaquin Costa, 52"
La Pineda,4.7,"Carrer del Pi, 16"
7 Portes,3.4,"Passeig d'Isabel II, 14"
Federal,4.4,"Passatge de la Pau, 11"
Ocaña,3.6,"Plaça Reial, 13-15"
Escribà,3.9,"Carrer de les Floristes de la Rambla, 83"
Euskal Etxea Taberna,3.9,"Placeta de Montcada, 1"
Wok to Walk,4.0,"Les Rambles, 95"
Patagonia,3.2,"Rambla de Sant Josep, 116"
König Barcelona Centre,3.7,"Rambla de Catalunya, 5"
Pirineu en Boca,4.5,"Carrer de Girona, 17"
Casa Mari y Rufo,4.5,"Carrer de Freixures, 11"
bubó Bar,4.1,"Carrer de les Caputxes, 6"
Pastelería Hofmann,4.7,"Carrer dels Flassaders, 44"
Palosanto,4.3,"Carrer d'Avinyó, 30"
H3,3.8,Grupo El Reloj
La Pizza del Born,4.2,"Passeig del Born, 22"
El Drac de Sant Jordi,3.7,"Placa Sant Josep Oriol, 3"
Gourmet Tapas,4.2,"Carrer de Milans, 4"
CocoVail Beer Hall Barcelona,4.4,"Carrer d'Arago, 284"
La Tagliatella,4.1,"Carrer de Pau Claris, 118"
El Atril,4.2,"Carrer dels Carders, 23"
Molika,4.6,"Carrer de Casp, 57"
Grasshopper,3.9,"Plaça de la Llana, 9"
Allium,4.2,"Carrer Call, 17"
Les Quinze Nits,3.3,"Plaça Reial, 6"
Dos Pebrots,4.7,"Carrer del Dr. Dou, 19"
Biocenter,4.1,"Carrer del Pintor Fortuny, 25"
Federal Café,4.1,"Carrer del Parlament, 39"
Can Cisa,4.1,"Carrer de la Princesa, 14"
Bacoa,4.2,"Avinguda del Marquès de l'Argentera, 1"
Gelatiamo,4.5,"Carrer de la Canuda, 17-21"
La Tagliatella,4.3,"Ronda de la Universitat, 31"
Faborit,4.3,"Passeig de Gràcia, 41"
Vegetalia,3.9,"Carrer dels Escudellers, 54"
Alsur Café & Backdoor Bar,4.7,"Carrer de la Ribera, 18"
Chök,4.3,"Carrer de les Ramelleres, 26-28"
Santagustina,4.4,"Carrer de les Basses de Sant Pere, 9"
Woki Organic Market,3.9,"Ronda de la Universitat, 20"
Pudding,3.9,"Carrer de Pau Claris, 90"
El Jardín del Edén,3.9,"Carrer de Jovellanos, 3"
Mayura,4.2,"Carrer de Girona, 57"
Taquerías Tamarindo,4.4,"Carrer de Aragón, 236"
Luigi,4.1,"Carrer de Roger de Llúria, 50"
Alsur Café,4.1,"Plaça de Sant Cugat, 1"
Neyras,3.5,"Via Laietana, 41"
Los Caracoles,3.6,"Carrer dels Escudellers, 14"
La Poma,2.6,"La Rambla, 117"
Sucursal Aceitera,4.9,"Carrer del Comte Borrell, 36"
La Colmena,4.4,"Plaça de l'Àngel, 12"
Reem al Bawadi,4.1,"Via Laietana, 59"
Museu Picasso,4.1,"Carrer de Montcada, 15-23"
ORIO BCN Gòtic,3.7,"Carrer de Ferran, 38"
Sagarra,3.8,"Carrer d'en Xuclà, 9"
Vistro 49,4.9,"Via Laietana, 49"
The Bagel Hood,4.6,"Carrer de Ferlandina, 61"
Tosca Del Carme,4.4,"Carrer del Carme, 40"
Chulapio Cocktails & Crepes ,4.9,"Carrer Botella, 2"
Tandoori Nights,4.6,"Carrer de les Carretes, 44"
El Macareno,4.7,"Carrer de les Sitges, 10"
Carlota Akaneya,4.8,"Carrer del Pintor Fortuny, 32"
El Viejo Pop,3.4,"Via Laietana, 57"
Bobby's Free,4.6,"Carrer de Pau Claris, 85"
Cafè de l'Ópera,3.5,"La Rambla, 74"
Gran Viana,4.7,"Carrer dels Escudellers, 24"
Paella Bar,4.4,"Pòrtics de la Boqueria, s/n"
Lonja de Tapas,3.7,"Carrer de Jaume I, 8-10"
Solomillo,4.5,"Carrer de Mallorca, 251"
Patagonia Beef & Wine,4.2,"Gran Vía de les Corts Catalanes, 660"
Macchina,4.4,"Carrer de Balmes, 12"
El Cafè d'en Víctor,2.9,"Carrer de la Tapineria, 12"
Ølgod,4.7,"Carrer de l'Hospital, 74"
Levante,4.7,"Placeta de Manuel Ribé, 1"
Elisabets,4.0,"Carrer d'Elisabets, 2"
Museu d'Història de Barcelona,4.6,"Plaça del Rei, s/n"
El Laurel,4.4,"Carrer de Floridablanca, 140"
NBA Café Barcelona,3.0,"Les Rambles, 120"
Oaxaca Cuina Mexicana,4.2,"Pla de Palau, 19"
Crudo Bar,4.6,"Gran Vía de les Cortes Catalanes, 654"
Dos Palillos,3.6,"Carrer d'Elisabets, 9"
Teresa's,4.4,"Carrer de L'Argenteria, 31"
Taco Alto,4.4,"Carrer del Portal Nou, 62"
Tapeo,4.9,"Carrer dels Assaonadors, 25"
Mamacafé,4.4,"Carrer del Dr. Dou, 10"
Ca l' Andreu,4.4,"Carrer Bou de Sants Pere, 13"
Chivuo's,4.2,"Carrer del Pintor Fortuny, 15"
El Cafetó,3.8,"Carrer de Santa Anna, 10"
La Bona Sort,3.5,"Carrer dels Carders, 12"
Celta Pulperia,4.4,"Carrer de la Princesa, 50"
Amorino,4.4,"Carrer de la Portaferrissa, 7"
Senyor Parellada,3.9,"Carrer de l'Argenteria, 37"
Bacoa,4.0,"Carrer de Ferran, 10"
La Vinoteca Torres,4.8,"Passeig de Gràcia, 78"
Sports Bar Italian Food,4.4,"Carrer Ample, 51"
Txapela,3.4,"Passeig de Gràcia, 8-10"
El Peix d'Or,4.6,"Carrer de Ausias Marc, 73-75"
Collage,4.6,"Calle Consellers, 4"
Café Emma,4.2,"Carrer de Pau Claris, 142"
Attic Restaurant,3.2,"La Rambla, 120"
Safrà 18,4.5,"Carrer Ample, 18"
Pepito,4.1,"Passatge de Domingo, 3"
Perikete,4.3,"Carrer de Llauder, 6"
Machiroku,3.8,"Carrer de les Moles, 21"
Taller de Tapas,3.2,"Plaça de Sant Josep Oriol, 9"
La Fonda,3.3,"Carrer dels Escudellers, 10"
La Rioja Restaurante,4.5,Calle Duran I Bas 5
Negro Carbón,4.0,"Plá del Palau, 16"
Habana Vieja,4.5,"Carrer dels Banys Vells, 2"
Palau Güell,4.4,"Carrer Nou de la Rambla, 3-5"
Cafè d'estiu,4.7,"Plaça de Sant Iu, 5"
Red Ant,4.0,"Carrer dels Tiradors, 3-5"
Thai Barcelona | Royal Cuisine,3.8,"Carrer de la Diputació, 273"
El Salón,4.5,"Carrer de l'Hostal del Sol, 6"
Futami,4.5,"Carrer Enric Granados, 10"
Joanet,4.4,"Plaça de Sant Agustí Vell, 6"
Taller de Tapas,3.6,"Rambla Catalunya, 49-51"
Santa Tapa,4.2,"Carrer de la Freneria, 5"
Anduriña,4.3,"Carrer de Amargós, 30"
La Monroe,4.0,"Plaza Salvador Seguí, 1"
Sor Rita,4.6,"Carrer de La Mercé, 27"
Alkimia,4.1,"Ronda Sant Antoni, 41"
Kiosko Universal,4.2,"Les Rambles, 91"
El Foro,4.1,"Carrer de la Princesa, 53"
Avinyo 10,4.2,"Carrer d'Avinyó, 8"
Batuar,4.5,Cotton House
Tasca El Corral,4.3,"Carrer de la Mercè, 17"
Oviso,4.2,"Carrer d'Arai, 5"
Capet,4.6,"Carrer del Cometa , 5"
